Serial number,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed,price_category
421,22280,29,10490,MarQ by Flipkart,5,9,1400,Medium
423,84,32,8499,White Westinghouse (Trademark by Electrolux),5,8.5,1600,Low
424,1482,5,21599,Whirlpool,5,6.5,740,High
426,58,26,23500,BOSCH,5,8,680,High
427,20,26,13249,Whirlpool,5,9,1400,Medium
429,227,30,23290,Whirlpool,5,9.5,740,High
430,15824,25,11499,Thomson,5,12,1400,Medium
431,35,12,21890,LG,5,7,780,High
432,761,39,28990,BOSCH,5,8,1200,High
433,69,27,14590,Lloyd,5,9,1300,Medium
434,263,22,36990,IFB,5,8,1200,Very High
435,31,27,15250,Whirlpool,5,6.5,740,Medium
436,13,19,12810,Panasonic,5,8,1350,Medium
437,3235,26,18990,Godrej,5,12,750,Medium
439,23378,25,32990,LG,5,8,1400,Very High
440,2759,23,18798,Whirlpool,5,6.5,740,Medium
441,5,23,32490,IFB,5,9,720,Very High
442,33,33,13187,Godrej,5,8.5,1440,Medium
443,1201,23,35990,IFB,5,7,1200,Very High
445,2428,26,12549,Lloyd,5,7.5,600,Medium
446,185,17,22990,SAMSUNG,5,8,700,High
447,10238,21,7990,ONIDA,5,6.5,1300,Low
448,38,25,33490,LG,5,10,700,Very High
450,120,38,27990,Haier,5,7,1200,High
452,43,21,13329,Godrej,5,8,1400,Medium
453,93,33,14381,Godrej,5,9,1440,Medium
456,37218,8,9090,SAMSUNG,5,6,1300,Low
457,572,36,14990,ONIDA,5,7,700,Medium
458,1201,16,32510,IFB,5,7,1000,Very High
459,58,30,27500,BOSCH,5,8,680,High
460,17,27,10522,Whirlpool,5,7.5,1400,Medium
461,310,29,28950,LG,5,10,700,High
462,19,32,16649,Lloyd,5,9,1300,Medium
463,7,20,52500,BOSCH,5,8,1200,Very High
466,10238,39,10890,ONIDA,5,8.5,1300,Medium
470,7,20,13961,Lloyd,5,8,750,Medium
471,107,23,14730,Whirlpool,5,6.5,1450,Medium
473,7,37,22300,BOSCH,5,8,680,High
476,73,24,21990,IFB,5,7,720,High
477,42,38,12690,Singer,5,10,1350,Medium
